Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dean Meminger,,5,4.4,3.9,2.2,1,0.2
Jerry Sichting,91.5,5.2,4.2,3.5,2.7,1.1,0.3
Luke Ridnour,89.7,5.4,4.4,3.4,2.3,1.2,0.9
Bob Warren,89.0,4.9,4.8,4,2.3,1.6,0.9
Carlos Delfino,88.5,4.8,4,3.5,2.9,1,0.5
Jason Williams,88.1,5.4,4.7,3.8,2.1,1.5,0.9
Kenny Sailors,87.9,5.2,4.9,3.7,1.7,1.6,NA
Ramon Sessions,87.9,5.6,4.4,3.7,2.9,1.1,0.7
Chico Vaughn,87.8,4.9,3.4,3.4,2.3,0.8,0.4
Eric Gordon,87.5,5.3,4.6,3.2,2.5,1.1,0.7
John Roche,86.5,4.8,4.2,4.1,2.5,2.3,0.5
