Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dean Meminger,,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Kenny Sailors,87.9,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA
Mitchell Wiggins,84.8,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Charles Dudley,84.2,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA
T.J. Ford,83.1,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA
Gary Harris,83.0,5.5,4.6,4,2.6,-0.7,NA,NA,NA,NA
Randy Wittman,83.0,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Jim Seminoff,82.8,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA
Allen Crabbe,82.6,4.3,4.2,3.2,1.3,0.8,0.1,NA,NA,NA
Ron Brewer,82.1,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA
Al Wood,81.8,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA
