Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,NYK,NBA,SG,78,NA,1173,139,293,0.474,79,140,0.564,NA,NA,185,103,NA,NA,137,357
1972-73,24,NYK,NBA,SG,80,NA,1453,188,365,0.515,81,129,0.628,NA,NA,229,133,NA,NA,109,457
1973-74,25,NYK,NBA,SG,78,NA,2079,274,539,0.508,103,160,0.644,125,156,281,162,62,8,161,651
1974-75,26,ATL,NBA,PG,80,NA,2177,233,500,0.466,168,263,0.639,84,130,214,397,118,11,160,634
1975-76,27,ATL,NBA,SG,68,NA,1418,155,379,0.409,100,152,0.658,65,86,151,222,54,8,116,410
1976-77,28,NYK,NBA,SG,32,NA,254,15,36,0.417,13,23,0.565,12,14,26,29,8,1,17,43
Career,NA,,NBA,,416,NA,8554,1004,2112,0.475,544,867,0.627,286,386,1086,1046,242,28,700,2552
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,268,NA,4959,616,1233,0.5,276,452,0.611,137,170,721,427,70,9,424,1508
2 seasons,NA,ATL,NBA,,148,NA,3595,388,879,0.441,268,415,0.646,149,216,365,619,172,19,276,1044
