,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,NYK,NBA,,12,,8,9,,,,,,,,25
1972-73,24,NYK,NBA,,10,,6,8,,,,,,,,21
1973-74,25,NYK,NBA,,12,,6,10,,,,,,,,27
1974-75,26,ATL,NBA,,11,,10,15,,,,,,,,26
1975-76,27,ATL,NBA,,11,,8,9,,,,,,,,27
1976-77,28,NYK,NBA,,2,4,6,10,,,4,4,,,,10
Career,,,,,12,,10,15,,,,,,,,27
4 Seasons,,NYK,NBA,,12,,8,10,,,,,,,,27
2 Seasons,,ATL,NBA,,11,,10,15,,,,,,,,27
