Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,NYK,NBA,SG,78,NA,1173,4.3,9,0.474,2.4,4.3,0.564,NA,NA,5.7,3.2,NA,NA,4.2,11
1972-73,24,NYK,NBA,SG,80,NA,1453,4.7,9,0.515,2,3.2,0.628,NA,NA,5.7,3.3,NA,NA,2.7,11.3
1973-74,25,NYK,NBA,SG,78,NA,2079,4.7,9.3,0.508,1.8,2.8,0.644,2.2,2.7,4.9,2.8,1.1,0.1,2.8,11.3
1974-75,26,ATL,NBA,PG,80,NA,2177,3.9,8.3,0.466,2.8,4.3,0.639,1.4,2.1,3.5,6.6,2,0.2,2.6,10.5
1975-76,27,ATL,NBA,SG,68,NA,1418,3.9,9.6,0.409,2.5,3.9,0.658,1.7,2.2,3.8,5.6,1.4,0.2,2.9,10.4
1976-77,28,NYK,NBA,SG,32,NA,254,2.1,5.1,0.417,1.8,3.3,0.565,1.7,2,3.7,4.1,1.1,0.1,2.4,6.1
Career,NA,,NBA,,416,NA,8554,4.2,8.9,0.475,2.3,3.6,0.627,1.7,2.3,4.6,4.4,1.5,0.2,2.9,10.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,268,NA,4959,4.5,9,0.5,2,3.3,0.611,2.1,2.6,5.2,3.1,1.1,0.1,3.1,10.9
2 seasons,NA,ATL,NBA,,148,NA,3595,3.9,8.8,0.441,2.7,4.2,0.646,1.5,2.2,3.7,6.2,1.7,0.2,2.8,10.5
