Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ernie Vandeweghe,,7.1,4.8,3.9,2.1,0.3,-0.1,NA,NA
Jerami Grant,89.1,7.3,5.4,2.9,2.1,0.5,NA,NA,NA
Larry Nance,87.7,5.8,4.9,3.5,2.2,NA,NA,NA,NA
Willie Cauley-Stein,86.2,6.7,3.9,3.8,2.9,NA,NA,NA,NA
Jack Kerris,85.5,5.9,5.7,4.1,2.1,NA,NA,NA,NA
Randolph Mahaffey,85.5,5.7,4.7,3.7,2.6,NA,NA,NA,NA
Vince Boryla,84.1,7.4,3.9,3.6,2.1,-1,NA,NA,NA
Julius Randle,83.8,6.6,6.1,3.5,1.6,-0.1,NA,NA,NA
Bones McKinney,83.7,7.1,4.9,3.3,0.2,0,-0.2,NA,NA
John Williams,81.4,6.9,5,3.5,1.9,1.3,1,0.8,-0.5
Aaron Gordon,80.3,5.4,5.1,3.7,2.9,1,NA,NA,NA
