Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ernie Vandeweghe,,7.1,4.8,3.9,2.1,0.3,-0.1
Tracy Murray,90.0,6.5,4.9,4.4,2.2,0.5,0.5
Dave Gambee,89.6,7,5.3,3.3,1.6,0,NA
Brandon Bass,89.2,6.3,4.3,4.1,2,0.1,0
Jerami Grant,89.1,7.3,5.4,2.9,2.1,0.5,NA
Pervis Ellison,88.5,6.9,4,3.9,1.8,0.7,0.4
Kurt Thomas,88.0,8.2,5.2,3.8,2.5,0.5,-0.2
Larry Nance,87.7,5.8,4.9,3.5,2.2,NA,NA
Willie Cauley-Stein,86.2,6.7,3.9,3.8,2.9,NA,NA
John Williams,86.0,6.9,5,3.5,1.9,1.3,1
Jack Kerris,85.5,5.9,5.7,4.1,2.1,NA,NA
