Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Raymond Townsend,,0.8,0.4,-0.2
Glenn Hansen,95.6,0.8,0.4,-0.1
Andre McCarter,79.6,0.8,0.3,0
Sergey Karasev,78.6,0.7,0.3,-0.1
Greg Sutton,71.7,0.8,0.2,-0.1
Phil Pressey,66.1,0.8,0.1,-0.1
Charlie Davis,65.3,0.8,0.7,-0.1
Sundiata Gaines,64.3,1,0.5,-0.1
Eddie Hughes,63.0,1,0.4,0
Markel Brown,62.6,0.6,0.5,0
Stan Pietkiewicz,61.3,1,0.6,0
