Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Robert Sacre,,1.4,0.8,0.3,-0.1,NA,NA
Gene Tormohlen,84.1,1.4,0.8,0.1,0,0,0
Earl Williams,83.8,1.3,1,0.4,0,NA,NA
Pétur Guðmundsson,82.8,1.4,0.6,0.3,-0.1,NA,NA
Josh Harrellson,78.1,1.4,0.7,0,NA,NA,NA
Granville Waiters,74.7,1.3,0.5,0.2,0,-0.2,NA
Rich Johnson,74.1,1.2,0.9,0.1,NA,NA,NA
Bob Elliott,71.0,1.6,0.8,0.7,NA,NA,NA
Steve Hayes,69.3,1.2,0.9,0.3,0.3,0.2,NA
David Harrison,69.0,1.5,1.4,0.4,-0.2,NA,NA
Chris Anstey,68.5,1.9,0.6,0.3,NA,NA,NA
