,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2012-13,23,LAL,NBA,C,2,4,,,,,100%,+52.8,+75.0,0,0,0,0,0,0,0,0,0
Career,,,NBA,,2,4,,,,,100%,+52.8,+75.0,0,0,0,0,0,0,0,0,0
