Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jonas Valančiūnas,,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA
Arvydas Sabonis,90.8,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA
Emeka Okafor,84.5,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1
Mehmet Okur,83.0,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0
Andrew Bynum,82.6,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA
Chuck Share,82.4,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA
Red Rocha,81.9,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA
DeMarcus Cousins,81.7,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA
Enes Kanter,81.0,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA
Clifford Ray,80.6,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9,-0.3
Jim Eakins,79.4,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9
