Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jonas Valančiūnas,,8.2,7.9,7.6,6.9,6.7,4.2,3.9
Mehmet Okur,91.2,9.3,8.8,7.4,7,6.7,5.9,3.8
Arvydas Sabonis,90.8,9.7,8.4,7.5,7.1,5.8,4.9,3.7
Alvan Adams,90.1,7.7,7.6,7.2,7.2,7,6.3,4.9
Red Rocha,89.0,7.8,7.2,7,6.5,5.1,5,4.6
Clifford Ray,88.9,8.7,8.2,8.1,7,6.9,6.7,5.7
Swen Nater,88.8,9.7,8.7,6.9,6.8,6.8,5.5,3.1
Jim Eakins,88.1,9,8.5,7.6,7.4,7.4,6.6,2.9
Arnie Risen,87.9,10.6,9.3,7.8,6.8,5.8,4.6,3.9
Byron Beck,87.2,8.1,7.7,6.4,5.9,5.7,5.7,5.3
Billy Paultz,87.1,9,8.9,8.7,7,5.6,5.3,5
