Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Paul Pressey,,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA,NA,NA
Kenny Smith,88.5,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA,NA,NA,NA
Rajon Rondo,87.7,9.9,9.6,7.2,6.6,4.9,4.6,3.6,3.2,2.4,2.3,1.6,1.3,1.1,NA
Sleepy Floyd,87.6,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9,-0.2,-0.4,NA
Otis Birdsong,87.4,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0,-0.1,-0.1,NA,NA
Jon McGlocklin,87.1,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA,NA,NA
Brian Taylor,86.9,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA,NA,NA
John Wall,86.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA,NA,NA,NA
Norm Nixon,85.9,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2,-0.4,NA,NA,NA,NA
Goran Dragić,85.8,10.3,7.5,6.8,5.7,5.3,5.1,4.7,2.8,1.6,1,0.1,NA,NA,NA
Darrell Armstrong,85.6,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
