Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Malcolm Thomas,,0.2,0.1,0,-0.2
Etdrick Bohannon,34.8,0.1,0.1,0,-0.1
Jackie Robinson,-12.6,0.2,0.1,0,NA
Easy Parham,-20.6,0.3,0.1,0,NA
Alando Tucker,-22.2,0.2,0.1,0,NA
Acie Earl,-29.3,0.3,0.2,0,-0.2
Jordan Mickey,-36.2,0.3,0.1,0.1,NA
Joe Courtney,-36.9,0.4,0.1,0,-0.1
Scooter McCray,-38.6,0.3,0.1,0,NA
Jacky Dorsey,-41.2,0.2,0.2,-0.1,NA
Doug Edwards,-41.6,0.2,0.1,0,NA
