Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Sherman Douglas,,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,0.2,-0.1
Mario Chalmers,91.4,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA,NA,NA
Don Ohl,91.1,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,NA,NA
Allen Leavell,91.0,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA
Jarrett Jack,90.5,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,0
Eric Gordon,89.7,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA
Luke Ridnour,89.6,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
John Long,89.3,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2,0.2,0.2
Greg Anthony,89.0,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA
Bob Weiss,88.6,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0
Ricky Sobers,88.5,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA
