Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1970-71,22,SFW,NBA,SG,35,NA,6,1.5,4.1,0.366,0.8,1.1,0.757,0.4,0.6,0.8,3.8
Career,NA,,NBA,,35,NA,6,1.5,4.1,0.366,0.8,1.1,0.757,0.4,0.6,0.8,3.8
