Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Loren Meyer,,1.1,-0.3,-0.3,NA,NA
Garfield Smith,54.5,1,-0.1,-0.2,NA,NA
Don Martin,18.9,1.6,-0.1,-0.2,NA,NA
Wallace Bryant,18.4,1.3,0,0,NA,NA
Luke Witte,14.2,1,0.1,0.1,NA,NA
Eric Mobley,6.4,1.3,0.2,-0.4,NA,NA
Ronald Taylor,3.6,1.7,0,-0.2,NA,NA
Chris Johnson,3.0,1,0.2,0.2,NA,NA
Mike Peplowski,0.9,0.9,0.1,0,NA,NA
Bernard James,-8.0,1.2,0.5,0.1,NA,NA
Jason Collier,-9.7,1.2,0.4,0.3,0,0
