Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jim Holstein,,1.8,0.6,0.2,NA,NA,NA
Ron Bonham,93.2,1.8,0.7,0.2,NA,NA,NA
Joey Dorsey,87.0,1.9,0.8,0.1,0,NA,NA
Chris Singleton,86.9,1.5,0.5,0.2,NA,NA,NA
Red Morrison,86.6,1.7,0.5,0,NA,NA,NA
Bill Bunting,85.4,2,0.7,0,NA,NA,NA
Ron Riley,85.2,1.6,0.7,0.2,0,NA,NA
Chris McNealy,83.8,1.6,0.8,0.2,NA,NA,NA
Kornél Dávid,83.7,1.7,0.4,0.3,NA,NA,NA
Linton Johnson,79.9,1.9,0.4,0.4,0,0,0
Billy Schaeffer,79.7,1.9,0.8,0.5,NA,NA,NA
