Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jim Holstein,,1.8,0.6,0.2,NA
Ron Bonham,93.2,1.8,0.7,0.2,NA
Joey Dorsey,87.0,1.9,0.8,0.1,0
Chris Singleton,86.9,1.5,0.5,0.2,NA
Red Morrison,86.6,1.7,0.5,0,NA
Tellis Frank,85.8,2,0.6,0.3,0.1
Bill Bunting,85.4,2,0.7,0,NA
Ron Riley,85.2,1.6,0.7,0.2,0
Chris McNealy,83.8,1.6,0.8,0.2,NA
Kornél Dávid,83.7,1.7,0.4,0.3,NA
Boštjan Nachbar,82.5,1.7,0.8,0.1,-0.1
