Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Montrezl Harrell,,8.7,5.5,4.1,0.9
Johnny Norlander,91.5,9.7,5.8,4.2,0.6
Orlando Woolridge,91.2,9,5.3,3.6,1.8
Dan Roundfield,90.7,8.7,6.9,3.9,1.3
Jim Brewer,90.6,7.9,5.8,4.4,1.3
Glen Rice,88.3,7.9,6.3,4.4,1.4
Reggie King,88.2,8.3,6.2,4.8,1.6
Jerome Kersey,87.7,8.6,6.4,3.6,2.2
Alex English,87.1,7,5.3,4,1.2
Les Hunter,87.0,8.4,5.6,4.9,-0.5
Kevin Willis,87.0,8.6,4.7,4.2,2.7
