Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Montrezl Harrell,,8.7,5.5,4.1,0.9,NA,NA
Johnny Norlander,90.8,9.7,5.8,4.2,0.6,0.2,NA
Art Heyman,84.6,8.5,6.1,2.7,1.3,0.6,0
Donald Sidle,82.0,9.7,5.9,5.6,1.9,NA,NA
Leo Mogus,80.7,8,7.7,5,1.2,NA,NA
Bud Palmer,79.0,7.4,7.2,3.9,NA,NA,NA
Ernie Vandeweghe,78.9,7.1,4.8,3.9,2.1,0.3,-0.1
Julius Randle,78.7,6.6,6.1,3.5,1.6,-0.1,NA
Bones McKinney,78.4,7.1,4.9,3.3,0.2,0,-0.2
Gary Bradds,78.2,8,3.6,3.4,0.5,0.3,0
Jack Kerris,77.5,5.9,5.7,4.1,2.1,NA,NA
