Season,Team,Lg,Salary
2011-12,Atlanta Hawks,NBA,"$473,604"
2012-13,Atlanta Hawks,NBA,"$962,195"
2014-15,Dallas Mavericks,NBA,"$25,000"
Career,(may be incomplete),,"$1,460,799"
