,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2005-06,21,OREGON,28,,82,164,0,4,45,71,,90,12,25,8,,,209,.500,.000,.634,,7.5,3.2,0.4
2006-07,22,CALSTSBERN,32,766,191,335,16,45,98,167,44,151,46,53,19,71,118,496,.570,.356,.587,23.9,15.5,4.7,1.4
Career,,,60,766,273,499,16,49,143,238,44,241,58,78,27,71,118,705,.547,.327,.601,23.9,11.8,4.0,1.0
