,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,KEN,ABA,,7,,1,,,,6,6,,,,,,,,17
1971-72,23,KEN,ABA,,8,,2,,,,5,6,,,,,,,,17
Career,,,,,8,,2,,,,6,6,,,,,,,,17
