Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,KEN,ABA,SG,19,NA,318,5.3,14,0.379,0,0.2,0,5.3,13.8,0.385,4.2,5.3,0.787,4.2,3.3,7.5,6,NA,3.3,3.4,14.8
1971-72,23,KEN,ABA,SG,6,NA,170,7,13.3,0.524,0.2,0.8,0.25,6.8,12.5,0.542,1.1,1.1,1,NA,NA,3.6,3.2,NA,2.3,4.9,15.2
Career,NA,,ABA,,25,NA,488,5.9,13.8,0.428,0.1,0.4,0.167,5.8,13.4,0.436,3.1,3.8,0.808,4.2,3.3,6.1,5,NA,3,3.9,15
