,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,23,MIN,NBA,SG,79,2069,.397,18.5,.576,.120,.062,.070,.324,.424,.427,.659,.262,.396,.380,.356,.595,.047,27,.845,.246,.394,0,0
2011-12,24,MIN,NBA,SF,65,1469,.398,17.8,.574,.166,.043,.055,.310,.426,.461,.712,.412,.455,.333,.314,.648,.073,27,.925,.391,.273,0,0
2012-13,25,PHO,NBA,SF,50,953,.407,18.4,.609,.101,.068,.106,.333,.391,.461,.675,.370,.405,.432,.323,.640,.020,8,.940,.329,.333,0,0
2013-14,26,LAL,NBA,SF,79,2240,.425,16.1,.584,.238,.071,.068,.207,.416,.466,.639,.370,.341,.341,.369,.791,.100,53,.960,.347,.362,0,0
2014-15,27,LAL,NBA,SF,76,2245,.414,17.1,.625,.156,.052,.107,.305,.375,.451,.704,.444,.392,.346,.351,.651,.055,35,.923,.336,.368,1,0
2015-16,28,LAC,NBA,SF,80,1666,.404,18.9,.400,.140,.037,.047,.177,.600,.510,.708,.474,.458,.374,.333,.867,.045,20,.981,.424,.420,0,0
2016-17,29,LAC,NBA,SF,68,810,.365,19.5,.410,.150,.035,.040,.185,.590,.537,.633,.714,.500,.432,.246,.773,.050,9,1.000,.364,.302,1,0
2017-18,30,LAC,NBA,SF,74,1486,.408,17.5,.519,.155,.038,.079,.247,.481,.471,.649,.286,.379,.418,.339,.756,.046,16,.900,.537,.389,1,0
2018-19,31,TOT,NBA,SF,38,534,.352,19.5,.406,.102,.031,.086,.188,.594,.385,.769,.250,.091,.333,.329,.650,.023,3,.920,.526,.225,0,0
2018-19,31,NOP,NBA,SF,26,377,.398,19.0,.432,.125,.034,.068,.205,.568,.421,.818,.000,.167,.333,.380,.625,.034,3,.895,.500,.320,0,0
2018-19,31,WAS,NBA,SF,12,157,.250,20.8,.350,.050,.025,.125,.150,.650,.286,.500,1.000,.000,.333,.231,.750,.000,0,1.000,.577,.067,0,0
Career,,,NBA,,609,13472,.404,17.8,.547,.155,.053,.075,.264,.453,.460,.674,.377,.387,.373,.337,.701,.056,198,.928,.372,.358,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,222,3962,.398,18.5,.442,.147,.037,.056,.202,.558,.499,.673,.450,.426,.402,.318,.808,.046,45,.958,.445,.390,2,0
2 seasons,,LAL,NBA,,155,4485,.420,16.6,.605,.196,.061,.088,.258,.395,.458,.665,.402,.373,.344,.360,.718,.077,88,.942,.342,.365,1,0
2 seasons,,MIN,NBA,,144,3538,.398,18.2,.576,.137,.055,.065,.319,.424,.440,.682,.305,.414,.363,.341,.615,.057,54,.872,.299,.336,0,0
1 season,,PHO,NBA,,50,953,.407,18.4,.609,.101,.068,.106,.333,.391,.461,.675,.370,.405,.432,.323,.640,.020,8,.940,.329,.333,0,0
1 season,,NOP,NBA,,26,377,.398,19.0,.432,.125,.034,.068,.205,.568,.421,.818,.000,.167,.333,.380,.625,.034,3,.895,.500,.320,0,0
1 season,,WAS,NBA,,12,157,.250,20.8,.350,.050,.025,.125,.150,.650,.286,.500,1.000,.000,.333,.231,.750,.000,0,1.000,.577,.067,0,0
