Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Greg Graham,,0.8,0.3,0.3,0.1,-0.1,NA
Corey Gaines,73.9,0.6,0.3,0.2,0.1,-0.1,NA
Chris Corchiani,71.7,0.9,0.4,0.3,NA,NA,NA
Connie Norman,69.5,0.8,0.2,0.2,NA,NA,NA
Gerald Glass,69.2,0.9,0.5,0.3,0.1,NA,NA
Kelvin Upshaw,68.0,1,0.3,0.3,NA,NA,NA
Keith McLeod,67.8,0.8,0.6,0.3,0.2,NA,NA
Archie Goodwin,66.8,0.7,0.2,0.2,0.1,NA,NA
Jermaine Jackson,61.5,0.6,0.2,0.2,0.2,-0.2,NA
JaKarr Sampson,61.3,0.8,0.6,0.5,0.1,NA,NA
Pace Mannion,61.1,0.9,0.4,0.3,0.2,0,-0.2
