Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Greg Graham,,0.8,0.3,0.3,0.1,-0.1
Corey Gaines,73.9,0.6,0.3,0.2,0.1,-0.1
Pace Mannion,73.0,0.9,0.4,0.3,0.2,-0.2
Chris Corchiani,71.7,0.9,0.4,0.3,NA,NA
Connie Norman,69.5,0.8,0.2,0.2,NA,NA
Gerald Glass,69.2,0.9,0.5,0.3,0.1,NA
Kelvin Upshaw,68.0,1,0.3,0.3,NA,NA
Keith McLeod,67.8,0.8,0.6,0.3,0.2,NA
Archie Goodwin,66.8,0.7,0.2,0.2,0.1,NA
Morlon Wiley,64.7,0.9,0.5,0.2,0.1,0.1
Jermaine Jackson,61.5,0.6,0.2,0.2,0.2,-0.2
