,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,BOS,NBA,,5,,3,8,,,,,,,,10
1967-68,25,SDR,NBA,,11,,6,13,,,,,,,,23
1968-69,26,SDR,NBA,,10,,5,8,,,,,,,,22
1969-70,27,SDR,NBA,,7,,4,8,,,,,,,,15
1970-71,28,SDR,NBA,,4,,4,10,,,18,5,,,6,12
1971-72,29,MIL,NBA,,7,,4,7,,,,,,,,14
1972-73,30,KCO,NBA,,8,,5,7,,,,,,,,16
1973-74,31,PHI,NBA,,9,,8,10,,,,,,,,22
1974-75,32,NOJ,NBA,,4,10,4,4,,,14,2,,,5,8
Career,,,,,11,,8,13,,,,,,,,23
4 Seasons,,SDR,NBA,,11,,6,13,,,,,,,,23
1 Season,,PHI,NBA,,9,,8,10,,,,,,,,22
1 Season,,MIL,NBA,,7,,4,7,,,,,,,,14
1 Season,,KCO,NBA,,8,,5,7,,,,,,,,16
1 Season,,BOS,NBA,,5,,3,8,,,,,,,,10
1 Season,,NOJ,NBA,,4,10,4,4,,,14,2,,,5,8
