Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Toby Kimball,,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
George Johnson,88.7,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Duane Ferrell,88.6,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
Derrick Williams,88.4,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Terry Teagle,87.9,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0,-0.2,-0.8
Chase Budinger,87.5,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA,NA
Don Ford,85.7,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA,NA
Luke Walton,85.7,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4,NA
Lavoy Allen,85.2,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA,NA,NA
Brad Lohaus,84.3,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Scott Padgett,84.2,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA,NA,NA
