Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,31,PHI,NBA,PF,75,NA,1592,6,12.7,0.474,3.5,5.1,0.686,5.1,10.2,15.4,2,1.4,0.6,5.5,15.6,NA,NA,96
1974-75,32,NOJ,NBA,PF,3,NA,90,3.4,11.2,0.304,2.9,3.4,0.857,3.9,8.8,12.7,2,1,0,5.9,9.8,NA,NA,99
Career,NA,,NBA,,78,NA,1682,5.9,12.6,0.425,3.5,5.1,0.573,5.1,10.1,15.2,2,1.3,0.6,5.6,15.2,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,75,NA,1592,6,12.7,0.474,3.5,5.1,0.686,5.1,10.2,15.4,2,1.4,0.6,5.5,15.6,NA,NA,96
1 season,NA,NOJ,NBA,,3,NA,90,3.4,11.2,0.304,2.9,3.4,0.857,3.9,8.8,12.7,2,1,0,5.9,9.8,NA,NA,99
1 season,NA,BOS,NBA,,0,NA,0,NA,NA,0.361,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.414,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,0,NA,0,NA,NA,0.467,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KCO,NBA,,0,NA,0,NA,NA,0.436,NA,NA,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
