Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Toby Kimball,,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0
Duane Ferrell,89.4,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,-0.1
George Johnson,88.7,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA
Derrick Williams,88.4,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA
Chase Budinger,87.5,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA
Barry Clemens,86.6,3.5,3.5,2.8,1.8,1.7,1.6,0.9,0.1,0.1
Don Ford,85.7,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA
Scott Williams,85.7,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3,-0.1
Lavoy Allen,85.2,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA
Matt Bullard,85.2,3.4,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2
Brad Lohaus,84.8,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1
