Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ticky Burden,,2.6,0,0,NA,NA
Mark Davis,76.0,2.3,0.2,-0.1,-0.1,-0.1
Cliff Barker,73.7,2.2,0.1,-0.2,NA,NA
Jerry Harkness,73.2,2.9,0.5,0,NA,NA
Danuel House,69.9,2.3,0.6,0,NA,NA
John Kuester,68.5,1.9,0.1,0,NA,NA
Stephen Vacendak,66.8,2.2,0.1,-0.4,NA,NA
Travis Mays,66.5,2.1,0.3,0,NA,NA
Joe DePre,60.1,3.4,0,-0.3,NA,NA
Keith Herron,59.0,3.5,0,-0.3,NA,NA
Kenny Rollins,51.8,2.6,1.5,0.1,NA,NA
