Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Dekker,,3.1,1.2,1,0
John Trapp,91.9,3.3,1.2,1.2,0
Marty Conlon,90.2,3.1,1.4,1,0.3
Sam Young,89.9,2.9,1.2,0.9,0.2
Kenny Gattison,86.7,3,1.5,0.7,0
Lorenzo Williams,86.3,3.1,1.7,1.1,0.3
Rowland Garrett,85.6,3.1,1.1,0.5,-0.1
Al Harrington,85.6,2.6,1.2,1,-0.2
Bill Turner,85.0,3.1,1.1,0.7,-0.4
Willie Reed,82.9,3.6,1.5,1.2,NA
Andray Blatche,82.4,3,1.4,0.5,0.1
