Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Sam Dekker,,3.1,1.2,1,0,NA,NA,NA
Sam Young,89.9,2.9,1.2,0.9,0.2,NA,NA,NA
Rowland Garrett,83.9,3.1,1.1,0.8,0.5,-0.1,NA,NA
John Trapp,83.8,3.3,1.2,1.2,0.6,0,NA,NA
Willie Reed,82.9,3.6,1.5,1.2,NA,NA,NA,NA
Charles Jones,82.0,2.9,0.9,0.6,0.1,NA,NA,NA
Derrick Jones,81.4,2.9,1.1,0.4,NA,NA,NA,NA
Derrick Brown,80.8,2.3,1.3,1,NA,NA,NA,NA
Mike Farmer,79.0,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Harthorne Wingo,79.0,3.9,1.4,0.9,0,NA,NA,NA
Darius Miller,78.6,3,1.6,0.8,0.5,-0.1,NA,NA
