Season,Team,Lg,Salary
1996-97,Miami Heat,NBA,"$247,500"
1997-98,Charlotte Hornets,NBA,"$272,250"
1999-00,Golden State Warriors,NBA,"$510,000"
Career,(may be incomplete),,"$1,029,750"
