,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1962-63,24,DET,NBA,,0,0,0,0,1,0,0,0
1964-65,26,LAL,NBA,,3,5,3,4,7,4,4,8
1965-66,27,LAL,NBA,,4,8,3,5,11,5,6,9
1966-67,28,LAL,NBA,,6,9,3,4,16,4,4,15
1967-68,29,LAL,NBA,,5,,5,7,,,,12
1968-69,30,PHI,NBA,,9,17,6,10,20,6,6,24
1969-70,31,PHI,NBA,,8,,1,4,,,,16
Career,,,,,9,,6,10,,,,24
4 Seasons,,LAL,NBA,,6,,5,7,,,,15
2 Seasons,,PHI,NBA,,9,,6,10,,,,24
1 Season,,DET,NBA,,0,0,0,0,1,0,0,0
