Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Darrall Imhoff,,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Andris Biedriņš,82.3,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA
Neal Walk,81.8,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Elmore Smith,81.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Gene Moore,79.6,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Jamaal Magloire,79.5,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
George Ratkovicz,78.8,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA,NA,NA
Stan Miasek,78.0,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA,NA,NA
Sam Bowie,77.5,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA,NA
Joe Barry Carroll,77.2,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA,NA
Kendrick Perkins,76.2,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1
