Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jim Loscutoff,,2.1,0.9,0.9,0.5,0.3,0,0,-0.2,-0.9
Pete Verhoeven,66.1,2.1,1.2,0.8,0.7,0.4,0,NA,NA,NA
Henry Walker,65.3,1.9,1.1,0.9,0.5,0.5,NA,NA,NA,NA
Solomon Jones,60.8,1.9,1.6,0.8,0.5,0.3,0,0,-0.1,NA
D.J. White,60.0,1.8,0.8,0.6,0.4,0.2,0,NA,NA,NA
Bob Portman,59.8,1.9,1.2,0.8,0.5,NA,NA,NA,NA,NA
Cliff Meely,59.3,1.8,1.2,1,0.4,0.2,NA,NA,NA,NA
Byron Houston,58.9,1.8,0.9,0.7,0.5,NA,NA,NA,NA,NA
Marty Byrnes,58.0,2.3,1,0.9,0,NA,NA,NA,NA,NA
Tony Brown,56.5,1.8,1.3,0.9,0.5,0.2,0.2,0,NA,NA
Tellis Frank,56.4,2,1.1,0.6,0.3,0.1,NA,NA,NA,NA
