Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Zoran Planinić,,0.8,0.7,0.1,NA,NA
Kris Dunn,90.2,0.9,0.6,0.1,NA,NA
Carlos Terry,86.1,0.8,0.8,-0.1,NA,NA
Tarence Kinsey,85.0,0.9,0.6,0,NA,NA
Tony Bennett,84.3,0.9,0.7,0,NA,NA
LaBradford Smith,84.2,0.8,0.8,-0.1,NA,NA
Litterial Green,82.2,0.8,0.8,0.1,0,-0.1
Charlie Davis,81.6,0.8,0.7,-0.1,NA,NA
Phil Rollins,78.9,1.1,0.7,0.1,NA,NA
Stan Pietkiewicz,73.7,1,0.6,0,NA,NA
Pearl Washington,73.5,0.7,0.7,0.5,NA,NA
