Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Vern Fleming,,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4,NA,NA,NA,NA,NA,NA
Michael Adams,89.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA,NA,NA,NA,NA
Mike Newlin,89.1,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,NA,NA,NA,NA,NA,NA,NA
Muggsy Bogues,89.0,8.6,6.7,6.4,5.9,5,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0,-0.1,NA,NA,NA,NA
Slater Martin,88.8,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,NA,NA,NA,NA,NA,NA,NA
Jerry Stackhouse,88.8,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0,-0.4
Rickey Green,88.5,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1,NA,NA,NA,NA
Avery Johnson,88.3,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,3,2.6,1.6,1.3,0.5,0.4,0.3,0.2,NA,NA
Jerry Sloan,87.9,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9,NA,NA,NA,NA,NA,NA,NA
Darrell Armstrong,87.8,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0,NA,NA,NA,NA
Nick Van Exel,87.3,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.6,1.4,1.2,NA,NA,NA,NA,NA
