Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Vern Fleming,,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4
Michael Adams,89.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA
Jerry Stackhouse,89.6,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.1,1.9,1.2,0.2
Muggsy Bogues,89.3,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,1.7,1.7,0
Mike Newlin,89.1,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,NA
Slater Martin,88.8,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,NA
Nick Van Exel,88.1,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.6,1.2
Jerry Sloan,87.9,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9,NA
Avery Johnson,87.8,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Latrell Sprewell,87.0,8.1,8,6.6,5.7,5.5,5.1,4,3.2,3,2.8,2,0.4
Tom Gola,86.9,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA
