Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Gus Williams,,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1
Mookie Blaylock,92.4,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.3,2.1,-0.3
Walter Davis,92.4,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,2.7,0.6
Derek Harper,92.0,9.9,9.4,9.1,8,7.6,6.2,5.4,4,3.5,2.7,1.3
Archie Clark,91.8,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA
Kyle Lowry,90.4,11.7,11.6,10.1,7.1,7,5.6,4.9,4.3,3.6,3.4,0.5
Dick Van Arsdale,90.2,10.4,10.2,9,8.7,7,5.9,5.6,5.2,4,3.8,2.6
Sam Cassell,90.0,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Jeff Mullins,89.9,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.8,-0.3
Joe Dumars,89.8,9.9,9.1,8.7,8.2,7,6,5.9,4.4,4.2,3.2,1.7
Deron Williams,89.7,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8
