Season,Team,Lg,Salary
2015-16,Boston Celtics,NBA,"$1,824,360"
2016-17,Boston Celtics,NBA,"$1,906,440"
2017-18,Boston Celtics,NBA,"$1,988,520"
2018-19,Boston Celtics,NBA,"$3,050,390"
Career,(may be incomplete),,"$8,769,710"
