Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Terry Rozier,,5.6,3.2,1.4,-0.3,NA,NA
Buddy Hield,88.7,5.9,2.8,1.3,NA,NA,NA
Joe Harris,81.7,5.5,4,0.8,0.2,0,NA
Michael Dickerson,80.8,5.5,2.2,1.8,0.1,-0.1,NA
Don Carlson,79.8,5.8,2.8,2.6,0.2,NA,NA
Jamal Murray,79.3,5.5,5.1,1.3,NA,NA,NA
Seth Curry,76.5,4.6,2.4,1.4,0,0,NA
Stephen Chubin,76.2,6.9,4,1.7,NA,NA,NA
Matt Maloney,73.9,5.3,2.2,1.5,0.7,0.1,-0.3
Chick Reiser,72.4,5.5,3.9,3.7,NA,NA,NA
Malcolm Brogdon,71.3,6.5,4.1,2.7,NA,NA,NA
