Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Terry Rozier,,5.6,3.2,1.4,-0.3
Tyrone Corbin,90.0,5.4,3,1.2,0.1
Johnny Egan,89.4,5.1,3.2,1.3,0
Buddy Hield,88.7,5.9,2.8,1.3,NA
Jim Cleamons,86.6,5.5,2.6,1.7,0.1
Aaron Brooks,84.7,5.5,3.6,1.4,1.1
Michael Dickerson,83.9,5.5,2.2,1.8,-0.1
Ricky Rubio,83.4,5.9,3,2,0.5
Herm Gilliam,83.2,4.9,2.9,1.4,0.4
Goran Dragić,82.9,5.1,2.8,1,0.1
Delonte West,82.7,5.7,3.7,1.3,0.9
