Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sharone Wright,,1.7,1.3,0,-1.6
Dillard Crocker,62.1,2.2,1.2,0.1,-1.7
Rudy Macklin,34.9,1.8,1.4,0.1,NA
Kris Humphries,33.6,1.8,1.5,0.2,-0.3
Anthony Roberts,26.6,1.9,1.7,0.1,-0.2
Aaron Williams,26.6,1.7,1.1,-0.1,-0.1
Jerry Chambers,26.5,1.5,1.4,0,0
Mickaël Gelabale,25.9,1.5,1.3,0.2,NA
Joel Freeland,25.6,1.6,1.4,0.2,NA
Kenny Battle,24.3,1.9,1.3,0.3,0.1
Jon Brockman,23.3,1.9,1.7,0.1,NA
