Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sharone Wright,,1.7,1.3,0,-1.6
Dillard Crocker,62.1,2.2,1.2,0.1,-1.7
Rudy Macklin,34.9,1.8,1.4,0.1,NA
Mickaël Gelabale,25.9,1.5,1.3,0.2,NA
Joel Freeland,25.6,1.6,1.4,0.2,NA
Kenny Battle,24.3,1.9,1.3,0.3,0.1
Jon Brockman,23.3,1.9,1.7,0.1,NA
Jim Bradley,21.4,2.3,1.3,0.1,NA
Derrick Chievous,20.8,1.6,1.2,-0.1,NA
Hank Whitney,17.5,1.8,1.1,0.5,NA
Jan Veselý,17.1,1.7,1.6,0.7,NA
