Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Reggie Jordan,,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA
MarShon Brooks,82.2,1.3,0.8,0.7,0.4,0.1,NA,NA,NA
Mitchell Butler,74.9,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2
Steve Alford,74.7,1.4,0.9,0.6,0.3,NA,NA,NA,NA
Nik Stauskas,70.7,1.4,1.1,0.5,0.5,0.3,NA,NA,NA
John Warren,66.5,1.7,0.9,0.8,0.5,0.3,NA,NA,NA
Jimmer Fredette,65.7,1.1,0.8,0.3,0.2,0,-0.2,NA,NA
Morlon Wiley,64.7,1.1,0.9,0.5,0.2,0.1,0.1,-0.2,NA
Kevin McKenna,63.4,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA
Dante Exum,62.4,1.2,1,0.7,-0.1,NA,NA,NA,NA
Steve Henson,61.7,1.2,1.1,1,0.2,0.1,0,0,NA
