Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Reggie Jordan,,1.2,0.8,0.6,0.4,0.3,-0.2
MarShon Brooks,82.2,1.3,0.8,0.7,0.4,0.1,NA
Mitchell Butler,79.1,1.1,0.6,0.5,0.3,0.1,-0.2
Sebastian Telfair,76.3,0.8,0.7,0.6,0.5,0.3,-0.4
Steve Alford,74.7,1.4,0.9,0.6,0.3,NA,NA
Royal Ivey,74.5,0.9,0.7,0.6,0.5,0.3,0.2
Nik Stauskas,70.7,1.4,1.1,0.5,0.5,0.3,NA
Mike Wilks,70.4,0.8,0.7,0.6,0.5,0.2,-0.3
John Warren,66.5,1.7,0.9,0.8,0.5,0.3,NA
Jimmer Fredette,65.7,1.1,0.8,0.3,0.2,0,-0.2
Anthony Johnson,65.6,1.8,1.1,0.7,0.4,0.3,-0.2
