Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Gary Trent,,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA,NA,NA
Michael Smith,91.9,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA,NA,NA,NA
Michael Kidd-Gilchrist,89.8,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA,NA,NA
Len Chappell,88.2,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA,NA
Nate Williams,86.9,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA
Stromile Swift,86.2,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA
Terry Catledge,85.9,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA,NA
Al-Farouq Aminu,85.7,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA,NA
Ron Anderson,85.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA,NA
Austin Croshere,84.7,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Chris Wilcox,84.7,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,NA
