Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Gary Trent,,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1
Michael Smith,91.9,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA
Matt Barnes,90.3,5.9,4.3,3.7,3,3,2.3,1,0.7,0.4
Austin Croshere,90.2,5.4,4.1,4.1,3.4,3.2,2.6,2,0.3,0
Michael Kidd-Gilchrist,89.8,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA
Charlie Villanueva,87.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,0.4,0.1
Nate Williams,86.9,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA
Ron Anderson,86.6,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.3
Stromile Swift,86.2,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1
Tim Thomas,86.2,5.5,4.1,3.8,3.4,2.9,2.2,2.2,2.2,0.9
Terry Catledge,85.9,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA
