Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,BAL,NBA,SF,28,154,14.9,0.471,NA,0.603,NA,NA,NA,10.3,NA,NA,NA,NA,0.1,0.2,0.3,0.092
1969-70,23,TOT,NBA,SF,34,364,12.9,0.514,NA,0.511,NA,NA,NA,5.2,NA,NA,NA,NA,0.4,0.2,0.6,0.076
1969-70,23,BAL,NBA,SF,15,67,15.9,0.557,NA,0.643,NA,NA,NA,5.8,NA,NA,NA,NA,0.2,0.1,0.2,0.162
1969-70,23,DET,NBA,SF,19,297,12.2,0.503,NA,0.477,NA,NA,NA,5.1,NA,NA,NA,NA,0.2,0.1,0.4,0.057
1970-71,24,DET,NBA,SF,56,1146,12.4,0.535,NA,0.516,NA,NA,9.7,6.6,NA,NA,NA,NA,1.8,0.9,2.6,0.11
1971-72,25,TOT,TOT,SF,24,261,17.2,0.569,0,0.567,10.5,14.3,12,6.7,NA,17.1,17.1,NA,0.7,0.1,0.8,0.148
1971-72,25,DET,NBA,SF,18,204,17.1,0.55,NA,0.549,NA,NA,11.9,7.8,NA,NA,NA,NA,0.5,0,0.5,0.121
1971-72,25,DLC,ABA,SF,6,57,17.8,0.67,0,0.667,10.5,14.3,12.4,2.6,NA,17.1,17.1,NA,0.2,0.1,0.3,0.245
Career,NA,,TOT,,142,1925,13.4,0.529,0,0.532,10.5,14.3,10.1,6.6,NA,17.1,17.1,NA,2.9,1.4,4.3,0.107
,NA,,NBA,,136,1868,13.2,0.525,NA,0.529,NA,NA,10,6.8,NA,NA,NA,NA,2.7,1.3,4,0.103
,NA,,ABA,,6,57,17.8,0.67,0,0.667,10.5,14.3,12.4,2.6,NA,17.1,17.1,NA,0.2,0.1,0.3,0.245
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,93,1647,13,0.531,NA,0.513,NA,NA,10,6.5,NA,NA,NA,NA,2.5,1,3.5,0.102
2 seasons,NA,BAL,NBA,,43,221,15.2,0.495,NA,0.614,NA,NA,NA,8.9,NA,NA,NA,NA,0.3,0.3,0.5,0.113
1 season,NA,DLC,ABA,,6,57,17.8,0.67,0,0.667,10.5,14.3,12.4,2.6,NA,17.1,17.1,NA,0.2,0.1,0.3,0.245
