Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bob Quick,,2.6,0.8,0.6,0.3,NA,NA
Dennis Hamilton,87.3,2.8,0.7,0.5,0,NA,NA
Jeff Adrien,86.8,2.7,1,0.4,0.2,0.1,NA
Dick Schulz,86.8,2.9,0.8,0.6,0,NA,NA
Kenny Fields,85.9,2.8,0.7,0.7,0,NA,NA
Charles Jones,85.1,2.9,0.9,0.6,0.1,NA,NA
Walter Herrmann,82.8,2.4,1,0.7,NA,NA,NA
Grady Lewis,78.9,2.4,1.1,0.8,NA,NA,NA
Sam Young,78.6,2.9,1.2,0.9,0.2,NA,NA
Jeff Lamp,78.4,3,1,0.7,0.6,0,-0.1
Derrick Jones,76.5,2.9,1.1,0.4,NA,NA,NA
