,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,BAL,NBA,,7,,,,,,6,10,,,,,,,,17
1969-70,23,TOT,NBA,,8,,,,,,9,9,,,,,,,,20
1969-70,23,BAL,NBA,,3,,,,,,5,8,,,,,,,,11
1969-70,23,DET,NBA,,8,,,,,,9,9,,,,,,,,20
1970-71,24,DET,NBA,,7,,,,,,11,12,,,,,,,,21
1971-72,25,DET,NBA,,9,,,,,,9,10,,,,,,,,21
1971-72,25,DLC,ABA,,3,,0,,,,5,5,,,,,,,,7
Career,,,TOT,,9,,,,,,11,12,,,,,,,,21
,,,NBA,,9,,,,,,11,12,,,,,,,,21
,,,ABA,,3,,0,,,,5,5,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,DET,NBA,,9,,,,,,11,12,,,,,,,,21
2 Seasons,,BAL,NBA,,7,,,,,,6,10,,,,,,,,17
1 Season,,DLC,ABA,,3,,0,,,,5,5,,,,,,,,7
