Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,BAL,NBA,SF,28,NA,154,7,17.1,0.411,NA,NA,NA,7,17.1,0.411,6.3,10.3,0.614,NA,NA,5.8,2.8,NA,NA,3.3,20.3
1969-70,23,TOT,NBA,SF,34,NA,364,6.2,13.7,0.453,NA,NA,NA,6.2,13.7,0.453,4.8,7,0.69,NA,NA,7.4,1.4,NA,NA,4.9,17.3
1969-70,23,BAL,NBA,SF,15,NA,67,7.5,15,0.5,NA,NA,NA,7.5,15,0.5,6.4,9.7,0.667,NA,NA,6.4,1.6,NA,NA,4.8,21.5
1969-70,23,DET,NBA,SF,19,NA,297,5.9,13.5,0.441,NA,NA,NA,5.9,13.5,0.441,4.5,6.4,0.698,NA,NA,7.6,1.3,NA,NA,5,16.4
1970-71,24,DET,NBA,SF,56,NA,1146,4.9,10.7,0.455,NA,NA,NA,4.9,10.7,0.455,4.3,5.5,0.784,NA,NA,7.2,1.8,NA,NA,4.5,14.1
1971-72,25,TOT,TOT,SF,24,NA,261,6.5,13.4,0.485,0,0,NA,6.5,13.4,0.485,6.1,7.6,0.8,0.8,NA,9,1.7,NA,0.6,5.2,19
1971-72,25,DET,NBA,SF,18,NA,204,6.9,14.5,0.476,NA,NA,NA,6.9,14.5,0.476,6,7.9,0.756,NA,NA,9,1.9,NA,NA,5.1,19.8
1971-72,25,DLC,ABA,SF,6,NA,57,5.1,9.5,0.533,0,0,NA,5.1,9.5,0.533,6.3,6.3,1,3.8,5.1,8.8,0.6,NA,2.5,5.7,16.4
Career,NA,,TOT,,142,NA,1925,5.5,12.2,0.454,0,0,NA,5.5,12.2,0.454,4.8,6.5,0.746,3.8,5.1,7.4,1.8,NA,2.5,4.6,15.9
,NA,,NBA,,136,NA,1868,5.5,12.2,0.452,NA,NA,NA,5.5,12.2,0.452,4.8,6.5,0.738,NA,NA,7.3,1.8,NA,NA,4.5,15.8
,NA,,ABA,,6,NA,57,5.1,9.5,0.533,0,0,NA,5.1,9.5,0.533,6.3,6.3,1,3.8,5.1,8.8,0.6,NA,2.5,5.7,16.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,93,NA,1647,5.3,11.7,0.455,NA,NA,NA,5.3,11.7,0.455,4.6,6,0.763,NA,NA,7.5,1.7,NA,NA,4.6,15.2
2 seasons,NA,BAL,NBA,,43,NA,221,7.2,16.5,0.436,NA,NA,NA,7.2,16.5,0.436,6.4,10.1,0.629,NA,NA,6,2.4,NA,NA,3.7,20.7
1 season,NA,DLC,ABA,,6,NA,57,5.1,9.5,0.533,0,0,NA,5.1,9.5,0.533,6.3,6.3,1,3.8,5.1,8.8,0.6,NA,2.5,5.7,16.4
