Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,BAL,NBA,SF,28,NA,154,30,73,0.411,NA,NA,NA,30,73,0.411,0.411,27,44,0.614,NA,NA,25,12,NA,NA,14,87
1969-70,23,TOT,NBA,SF,34,NA,364,63,139,0.453,NA,NA,NA,63,139,0.453,0.453,49,71,0.69,NA,NA,75,14,NA,NA,50,175
1969-70,23,BAL,NBA,SF,15,NA,67,14,28,0.5,NA,NA,NA,14,28,0.5,0.5,12,18,0.667,NA,NA,12,3,NA,NA,9,40
1969-70,23,DET,NBA,SF,19,NA,297,49,111,0.441,NA,NA,NA,49,111,0.441,0.441,37,53,0.698,NA,NA,63,11,NA,NA,41,135
1970-71,24,DET,NBA,SF,56,NA,1146,155,341,0.455,NA,NA,NA,155,341,0.455,0.455,138,176,0.784,NA,NA,230,56,NA,NA,142,448
1971-72,25,TOT,TOT,SF,24,NA,261,47,97,0.485,0,0,NA,47,97,0.485,0.485,44,55,0.8,6,NA,65,12,NA,4,38,138
1971-72,25,DET,NBA,SF,18,NA,204,39,82,0.476,NA,NA,NA,39,82,0.476,0.476,34,45,0.756,NA,NA,51,11,NA,NA,29,112
1971-72,25,DLC,ABA,SF,6,NA,57,8,15,0.533,0,0,NA,8,15,0.533,0.533,10,10,1,6,8,14,1,NA,4,9,26
Career,NA,,TOT,,142,NA,1925,295,650,0.454,0,0,NA,295,650,0.454,0.454,258,346,0.746,6,8,395,94,NA,4,244,848
,NA,,NBA,,136,NA,1868,287,635,0.452,NA,NA,NA,287,635,0.452,0.452,248,336,0.738,NA,NA,381,93,NA,NA,235,822
,NA,,ABA,,6,NA,57,8,15,0.533,0,0,NA,8,15,0.533,0.533,10,10,1,6,8,14,1,NA,4,9,26
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,93,NA,1647,243,534,0.455,NA,NA,NA,243,534,0.455,0.455,209,274,0.763,NA,NA,344,78,NA,NA,212,695
2 seasons,NA,BAL,NBA,,43,NA,221,44,101,0.436,NA,NA,NA,44,101,0.436,0.436,39,62,0.629,NA,NA,37,15,NA,NA,23,127
1 season,NA,DLC,ABA,,6,NA,57,8,15,0.533,0,0,NA,8,15,0.533,0.533,10,10,1,6,8,14,1,NA,4,9,26
