Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22,BAL,NBA,SF,28,NA,5.5,1.1,2.6,0.411,NA,NA,NA,1.1,2.6,0.411,0.411,1,1.6,0.614,NA,NA,0.9,0.4,NA,NA,0.5,3.1
1969-70,23,TOT,NBA,SF,34,NA,10.7,1.9,4.1,0.453,NA,NA,NA,1.9,4.1,0.453,0.453,1.4,2.1,0.69,NA,NA,2.2,0.4,NA,NA,1.5,5.1
1969-70,23,BAL,NBA,SF,15,NA,4.5,0.9,1.9,0.5,NA,NA,NA,0.9,1.9,0.5,0.5,0.8,1.2,0.667,NA,NA,0.8,0.2,NA,NA,0.6,2.7
1969-70,23,DET,NBA,SF,19,NA,15.6,2.6,5.8,0.441,NA,NA,NA,2.6,5.8,0.441,0.441,1.9,2.8,0.698,NA,NA,3.3,0.6,NA,NA,2.2,7.1
1970-71,24,DET,NBA,SF,56,NA,20.5,2.8,6.1,0.455,NA,NA,NA,2.8,6.1,0.455,0.455,2.5,3.1,0.784,NA,NA,4.1,1,NA,NA,2.5,8
1971-72,25,TOT,TOT,SF,24,NA,10.9,2,4,0.485,0,0,NA,2,4,0.485,0.485,1.8,2.3,0.8,0.3,NA,2.7,0.5,NA,0.2,1.6,5.8
1971-72,25,DET,NBA,SF,18,NA,11.3,2.2,4.6,0.476,NA,NA,NA,2.2,4.6,0.476,0.476,1.9,2.5,0.756,NA,NA,2.8,0.6,NA,NA,1.6,6.2
1971-72,25,DLC,ABA,SF,6,NA,9.5,1.3,2.5,0.533,0,0,NA,1.3,2.5,0.533,0.533,1.7,1.7,1,1,1.3,2.3,0.2,NA,0.7,1.5,4.3
Career,NA,,TOT,,142,NA,13.6,2.1,4.6,0.454,0,0,NA,2.1,4.6,0.454,0.454,1.8,2.4,0.746,1,1.3,2.8,0.7,NA,0.7,1.7,6
,NA,,NBA,,136,NA,13.7,2.1,4.7,0.452,NA,NA,NA,2.1,4.7,0.452,0.452,1.8,2.5,0.738,NA,NA,2.8,0.7,NA,NA,1.7,6
,NA,,ABA,,6,NA,9.5,1.3,2.5,0.533,0,0,NA,1.3,2.5,0.533,0.533,1.7,1.7,1,1,1.3,2.3,0.2,NA,0.7,1.5,4.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,93,NA,17.7,2.6,5.7,0.455,NA,NA,NA,2.6,5.7,0.455,0.455,2.2,2.9,0.763,NA,NA,3.7,0.8,NA,NA,2.3,7.5
2 seasons,NA,BAL,NBA,,43,NA,5.1,1,2.3,0.436,NA,NA,NA,1,2.3,0.436,0.436,0.9,1.4,0.629,NA,NA,0.9,0.3,NA,NA,0.5,3
1 season,NA,DLC,ABA,,6,NA,9.5,1.3,2.5,0.533,0,0,NA,1.3,2.5,0.533,0.533,1.7,1.7,1,1,1.3,2.3,0.2,NA,0.7,1.5,4.3
