Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Michael Adams,,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Brian Taylor,93.9,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA,NA,NA
Darrell Armstrong,93.6,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
Kenny Smith,91.2,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA,NA,NA,NA
Pete Maravich,90.4,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA,NA,NA,NA
B.J. Armstrong,90.0,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4,NA,NA,NA
Vern Fleming,89.9,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4,NA,NA
Jeff Teague,89.9,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6,NA,NA,NA,NA
Alvin Robertson,89.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA,NA,NA,NA
Norm Van Lier,89.8,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1,NA,NA,NA,NA
Jon McGlocklin,89.2,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA,NA,NA
