Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sonny Weems,,1.3,-0.3,-0.4,-0.5
Ray Corley,-41.8,1.2,0,-0.4,NA
Danny Finn,-45.8,1.7,-0.3,-0.4,NA
Tony Dumas,-51.4,1.6,0,0,-0.3
Orlando Johnson,-53.6,1.5,0.1,-0.2,NA
Bobby Wilson,-60.8,1.6,0.2,0,-0.1
Bernard Robinson,-65.9,1.7,0.3,0.1,NA
Jerry Rullo,-66.3,1.5,0.6,0,-0.1
Stan Noszka,-66.9,1.8,0.4,-0.2,NA
Ray McCallum,-67.0,1.4,0.4,0.3,NA
John Kuester,-67.1,1.9,0.1,0,NA
