Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Harris,,5,4.3,3.4,1.9,1
Danny Fortson,95.4,4.5,4.4,3.5,1.9,1.1
Shandon Anderson,93.9,4.9,4.2,3.9,2,1.2
Fred Hetzel,91.6,5.1,4.5,2.9,2,0.5
Donald Royal,91.6,5.1,3.8,3.6,1.6,1.3
Tom Van Arsdale,91.0,5,4.8,3.1,1.4,1
Charlie Villanueva,90.7,4.9,3.9,3.5,1.7,1.7
Adam Keefe,89.9,4.6,4.1,3.3,2.3,1.4
Ben Poquette,89.1,5.4,4.9,3.4,2.5,0.6
Phil Hubbard,89.0,4.6,4.5,3.4,2.6,1.6
Gus Johnson,89.0,5.3,5,3.5,2.2,1.6
