Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22,FTW,NBA,,62,NA,NA,2.7,7.5,0.361,2.3,3.6,0.628,NA,2.1,3.1,7.7
1950-51,23,TOT,NBA,,56,NA,NA,1.8,5.3,0.332,1.5,2.3,0.677,5.2,1.1,2.8,5
1950-51,23,FTW,NBA,,12,NA,NA,1.1,4.8,0.228,1.3,1.7,0.75,3.7,0.7,1.6,3.4
1950-51,23,BOS,NBA,,44,NA,NA,1.9,5.4,0.357,1.6,2.4,0.664,5.6,1.3,3.1,5.5
1951-52,24,BOS,NBA,PF,66,NA,28.8,2.9,7,0.41,2,3.2,0.641,8,1.8,2.9,7.8
1952-53,25,BOS,NBA,SF,70,NA,28.2,2.7,6.6,0.418,1.9,3.2,0.588,6.9,1.4,3.4,7.4
1953-54,26,BOS,NBA,SF,71,NA,26.7,2.2,5.8,0.381,1.5,2.4,0.628,7.3,1.3,3.2,5.9
Career,NA,,NBA,,325,NA,27.9,2.5,6.4,0.385,1.8,2.9,0.628,6.9,1.5,3.1,6.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,251,NA,27.9,2.5,6.3,0.397,1.8,2.8,0.625,7.1,1.5,3.2,6.7
2 seasons,NA,FTW,NBA,,74,NA,NA,2.4,7.1,0.347,2.1,3.3,0.638,3.7,1.9,2.8,7
