Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22,FTW,NBA,,62,NA,NA,168,465,0.361,140,223,0.628,NA,129,190,476
1950-51,23,TOT,NBA,,56,NA,NA,98,295,0.332,86,127,0.677,291,64,157,282
1950-51,23,FTW,NBA,,12,NA,NA,13,57,0.228,15,20,0.75,44,8,19,41
1950-51,23,BOS,NBA,,44,NA,NA,85,238,0.357,71,107,0.664,247,56,138,241
1951-52,24,BOS,NBA,PF,66,NA,1899,190,463,0.41,134,209,0.641,531,120,194,514
1952-53,25,BOS,NBA,SF,70,NA,1971,192,459,0.418,133,226,0.588,485,95,238,517
1953-54,26,BOS,NBA,SF,71,NA,1898,156,409,0.381,108,172,0.628,517,94,224,420
Career,NA,,NBA,,325,NA,5768,804,2091,0.385,601,957,0.628,1824,502,1003,2209
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,251,NA,5768,623,1569,0.397,446,714,0.625,1780,365,794,1692
2 seasons,NA,FTW,NBA,,74,NA,NA,181,522,0.347,155,243,0.638,44,137,209,517
