Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Harris,,5,4.3,3.4,1.9,1,NA,NA
Fred Hetzel,91.2,5.1,4.5,2.9,2,0.9,0.5,NA
Cornell Warner,89.5,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Aaron Gordon,86.7,5.4,5.1,3.7,2.9,1,NA,NA
George Irvine,86.7,5.5,3.7,3.2,2.5,1.2,0,NA
Julius Keye,86.5,5.3,4.3,3.6,3.6,1.2,-0.2,NA
Leo Barnhorst,85.3,4.7,4.6,3.6,1.3,NA,NA,NA
Scott May,84.8,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Larry Nance,84.0,5.8,4.9,3.5,2.2,NA,NA,NA
Chuck Gilmur,83.1,4.6,4.5,4.3,1.7,-0.1,NA,NA
Jared Sullinger,82.9,4.8,4,3.9,2.7,-0.1,NA,NA
